,MJD,RA,DEC,Flux,Flux_err
207,59320.5,22:02:43.198,42:16:40.8,1.847132e-07,4.3895458e-08
208,59321.5,22:02:43.198,42:16:40.8,1.3562345e-07,3.0127442e-08
209,59322.5,22:02:43.198,42:16:40.8,1.0979186e-07,2.4406216e-08
210,59323.5,22:02:43.198,42:16:40.8,9.5033485e-08,2.9850252e-08
211,59324.5,22:02:43.198,42:16:40.8,5.9436694e-08,2.2830836e-08
212,59325.5,22:02:43.198,42:16:40.8,1.7534933e-07,3.7102573e-08
213,59326.5,22:02:43.198,42:16:40.8,3.8000468e-07,5.7143296e-08
214,59327.5,22:02:43.198,42:16:40.8,5.4263234e-07,6.7591074e-08
215,59328.5,22:02:43.198,42:16:40.8,2.0599434e-07,4.1170903e-08
216,59329.5,22:02:43.198,42:16:40.8,3.6868215e-07,2.6420294e-08
217,59330.5,22:02:43.198,42:16:40.8,6.942605e-07,7.276807e-08
218,59331.5,22:02:43.198,42:16:40.8,1.0283103e-06,8.374405e-08
219,59332.5,22:02:43.198,42:16:40.8,3.6372768e-07,1.0018872e-08
220,59333.5,22:02:43.198,42:16:40.8,2.6517537e-07,2.7254542e-08
221,59334.5,22:02:43.198,42:16:40.8,5.345575e-07,6.6304e-08
222,59335.5,22:02:43.198,42:16:40.8,1.953812e-07,4.0540577e-08
223,59336.5,22:02:43.198,42:16:40.8,1.03506636e-07,3.0693972e-08
224,59337.5,22:02:43.198,42:16:40.8,2.3867182e-07,4.4296378e-08
225,59338.5,22:02:43.198,42:16:40.8,2.8417446e-07,6.155121e-08
226,59339.5,22:02:43.198,42:16:40.8,2.3259183e-07,5.5644218e-08
227,59340.5,22:02:43.198,42:16:40.8,1.3736097e-07,3.1847577e-08
228,59341.5,22:02:43.198,42:16:40.8,1.6202227e-07,4.8303004e-08
229,59342.5,22:02:43.198,42:16:40.8,5.8189144e-08,2.8718887e-08
230,59343.5,22:02:43.198,42:16:40.8,2.3431384e-07,5.4544653e-08
231,59344.5,22:02:43.198,42:16:40.8,6.976242e-07,9.467168e-08
232,59345.5,22:02:43.198,42:16:40.8,1.0633971e-07,3.5922103e-08
233,59346.5,22:02:43.198,42:16:40.8,1.60716e-07,4.196093e-08
234,59347.5,22:02:43.198,42:16:40.8,5.8795415e-08,2.488025e-08
235,59348.5,22:02:43.198,42:16:40.8,5.280226e-08,1.4831116e-08
236,59349.5,22:02:43.198,42:16:40.8,7.812316e-08,3.0618843e-08
237,59350.5,22:02:43.198,42:16:40.8,9.998537e-08,3.4183206e-08
238,59351.5,22:02:43.198,42:16:40.8,9.525259e-08,3.2264317e-08
239,59352.5,22:02:43.198,42:16:40.8,9.870196e-08,2.2970994e-08
240,59353.5,22:02:43.198,42:16:40.8,8.008658e-08,1.9661485e-08
241,59354.5,22:02:43.198,42:16:40.8,6.3755095e-08,2.389642e-08
242,59355.5,22:02:43.198,42:16:40.8,5.7216997e-08,2.443973e-08
243,59356.5,22:02:43.198,42:16:40.8,1.3701107e-07,3.5914187e-08
244,59357.5,22:02:43.198,42:16:40.8,7.700817e-08,2.6585644e-08
245,59358.5,22:02:43.198,42:16:40.8,2.3411826e-07,1.442207e-08
246,59359.5,22:02:43.198,42:16:40.8,3.1730772e-07,5.598082e-08
247,59360.5,22:02:43.198,42:16:40.8,1.9478956e-07,4.299084e-08
248,59361.5,22:02:43.198,42:16:40.8,7.95796e-08,2.6513769e-08
249,59362.5,22:02:43.198,42:16:40.8,5.819745e-08,2.3059172e-08
250,59363.5,22:02:43.198,42:16:40.8,7.388038e-08,2.6252238e-08
251,59364.5,22:02:43.198,42:16:40.8,9.153139e-08,3.2937695e-08
252,59365.5,22:02:43.198,42:16:40.8,9.695911e-08,3.5490533e-08
253,59366.5,22:02:43.198,42:16:40.8,1.2236194e-07,3.5891933e-08
254,59367.5,22:02:43.198,42:16:40.8,1.2813571e-07,3.0383895e-08
255,59368.5,22:02:43.198,42:16:40.8,7.8719694e-08,1.0021351e-08
256,59369.5,22:02:43.198,42:16:40.8,5.961631e-08,1.9756161e-08
257,59370.5,22:02:43.198,42:16:40.8,3.8816133e-08,1.7283146e-08
258,59371.5,22:02:43.198,42:16:40.8,2.3197982e-08,3.1370104e-10
259,59372.5,22:02:43.198,42:16:40.8,4.426137e-08,4.001779e-09
260,59373.5,22:02:43.198,42:16:40.8,5.8720726e-08,2.0080117e-08
261,59374.5,22:02:43.198,42:16:40.8,7.371854e-08,1.6768771e-08
262,59375.5,22:02:43.198,42:16:40.8,3.689488e-08,1.609552e-08
263,59376.5,22:02:43.198,42:16:40.8,4.1199293e-08,1.8405116e-08
264,59377.5,22:02:43.198,42:16:40.8,4.4161304e-08,1.1162263e-08
265,59378.5,22:02:43.198,42:16:40.8,4.6158686e-08,1.6285833e-08
266,59379.5,22:02:43.198,42:16:40.8,4.4747708e-08,1.6379163e-08
267,59380.5,22:02:43.198,42:16:40.8,4.0072525e-08,1.184366e-08
268,59381.5,22:02:43.198,42:16:40.8,4.226475e-08,1.6295743e-08
269,59382.5,22:02:43.198,42:16:40.8,4.6841194e-08,1.8027437e-08
270,59383.5,22:02:43.198,42:16:40.8,4.289982e-08,1.5638737e-08
271,59384.5,22:02:43.198,42:16:40.8,6.058513e-08,1.8124634e-08
272,59385.5,22:02:43.198,42:16:40.8,9.647835e-08,2.4239514e-08
273,59386.5,22:02:43.198,42:16:40.8,4.250578e-08,1.605705e-08
274,59387.5,22:02:43.198,42:16:40.8,4.8149122e-08,1.8730304e-08
275,59388.5,22:02:43.198,42:16:40.8,1.3136261e-07,3.8867853e-08
276,59389.5,22:02:43.198,42:16:40.8,1.3462171e-07,3.125157e-08
277,59390.5,22:02:43.198,42:16:40.8,5.3897274e-08,2.7700702e-08
278,59391.5,22:02:43.198,42:16:40.8,1.6247729e-07,5.4018948e-08
279,59392.5,22:02:43.198,42:16:40.8,1.5054091e-07,3.4791046e-08
280,59393.5,22:02:43.198,42:16:40.8,1.4196694e-07,4.554175e-08
281,59394.5,22:02:43.198,42:16:40.8,1.7160875e-07,5.2344134e-08
282,59395.5,22:02:43.198,42:16:40.8,1.2225547e-07,3.9571187e-08
283,59396.5,22:02:43.198,42:16:40.8,1.2041943e-07,4.316045e-08
284,59397.5,22:02:43.198,42:16:40.8,1.6872987e-07,4.40915e-08
285,59398.5,22:02:43.198,42:16:40.8,1.9920479e-07,5.2361298e-08
286,59399.5,22:02:43.198,42:16:40.8,2.126556e-07,5.4237415e-08
287,59400.5,22:02:43.198,42:16:40.8,8.9364484e-08,3.244892e-08
288,59401.5,22:02:43.198,42:16:40.8,1.4651853e-07,2.3218838e-08
289,59402.5,22:02:43.198,42:16:40.8,1.4206529e-07,4.0653067e-08
290,59403.5,22:02:43.198,42:16:40.8,1.2115383e-07,3.3293787e-08
291,59404.5,22:02:43.198,42:16:40.8,8.848619e-08,2.2771896e-08
292,59405.5,22:02:43.198,42:16:40.8,2.507246e-07,5.127458e-08
293,59406.5,22:02:43.198,42:16:40.8,5.619622e-07,7.1351245e-08
294,59407.5,22:02:43.198,42:16:40.8,5.2047915e-07,7.157327e-08
295,59408.5,22:02:43.198,42:16:40.8,2.0262213e-07,4.386491e-08
296,59409.5,22:02:43.198,42:16:40.8,1.5077997e-07,3.9321336e-08
297,59410.5,22:02:43.198,42:16:40.8,1.2428258e-07,3.284068e-08
298,59411.5,22:02:43.198,42:16:40.8,9.0981224e-08,3.052296e-08
299,59412.5,22:02:43.198,42:16:40.8,1.4486399e-07,3.7961463e-08
300,59413.5,22:02:43.198,42:16:40.8,2.3726614e-07,3.914771e-08
301,59414.5,22:02:43.198,42:16:40.8,4.1388734e-07,4.5135803e-08
302,59415.5,22:02:43.198,42:16:40.8,3.694632e-07,4.6201947e-08
303,59416.5,22:02:43.198,42:16:40.8,2.5171119e-07,1.2687725e-08
304,59417.5,22:02:43.198,42:16:40.8,1.5508672e-07,3.052514e-08
305,59418.5,22:02:43.198,42:16:40.8,2.3386936e-07,3.693312e-08
306,59419.5,22:02:43.198,42:16:40.8,1.03124655e-07,2.5752222e-08
307,59420.5,22:02:43.198,42:16:40.8,1.293795e-07,2.94443e-08
308,59421.5,22:02:43.198,42:16:40.8,1.0831168e-07,7.941117e-09
309,59422.5,22:02:43.198,42:16:40.8,2.0654116e-07,3.6336242e-08
310,59423.5,22:02:43.198,42:16:40.8,2.6818668e-07,4.071995e-08
311,59424.5,22:02:43.198,42:16:40.8,2.9876216e-07,4.0875253e-08
312,59425.5,22:02:43.198,42:16:40.8,5.5167897e-07,5.408564e-08
313,59426.5,22:02:43.198,42:16:40.8,3.5837783e-07,4.396424e-08
